accident_id,city,state,date,time,hour,day,month,year,day_of_week,is_weekend,peak_hour_indicator,festival_indicator,festival_impact,weather_condition,weather_severity,temperature,visibility,road_type,num_lanes,light_conditions,road_surface,traffic_density,latitude,longitude,urban_or_rural,speed_limit,congestion_level
ACC000019,Hyderabad,Hyderabad,2023-03-18,13:50,13,18,3,2023,5,1,0,0,0.0,Cloudy,0.3,29.7,9.85,Rural,3,Dark - unlit,Dry,43.25,17.347384,78.524458,Rural,80,Low
ACC000020,Lucknow,Lucknow,2022-01-12,06:44,6,12,1,2022,2,0,0,0,0.0,Clear,0.1,27.5,7.58,Highway,3,Dark - unlit,Dry,52.92,26.758705,80.878388,Rural,80,Low
ACC000021,Jaipur,Jaipur,2023-04-02,15:22,15,2,4,2023,6,1,0,0,0.0,Cloudy,0.3,30.5,4.95,Rural,2,Daylight,Icy,35.53,27.003444,75.72191,Rural,40,Medium
ACC000022,Hyderabad,Hyderabad,2023-11-30,06:04,6,30,11,2023,3,0,0,0,0.0,Clear,0.1,16.7,8.78,Suburban,4,Dark - unlit,Muddy,76.47,17.482937,78.432715,Urban,40,Low
ACC000023,Hyderabad,Hyderabad,2025-03-20,18:39,18,20,3,2025,3,0,1,0,0.0,Clear,0.1,29.6,10.0,Suburban,6,Dark - lit,Dry,79.94,17.436756,78.562412,Urban,50,Medium
ACC000024,Ahmedabad,Ahmedabad,2023-05-15,08:44,8,15,5,2023,0,0,1,0,0.0,Haze,0.4,28.4,7.67,Urban,2,Daylight,Wet,100.0,22.984781,72.532593,Urban,80,High
ACC000025,Bhopal,Bhopal,2024-04-08,19:59,19,8,4,2024,0,0,1,0,0.0,Rain,0.7,20.3,0.83,Rural,2,Daylight,Muddy,100.0,23.126791,77.298245,Rural,60,High
ACC000026,Bangalore,Bangalore,2025-06-10,08:35,8,10,6,2025,1,0,1,0,0.0,Clear,0.1,35.2,6.6,Suburban,3,Dark - lit,Muddy,78.08,13.112391,77.601529,Urban,50,Medium
ACC000027,Chennai,Chennai,2023-05-17,02:24,2,17,5,2023,2,0,0,0,0.0,Clear,0.1,23.6,6.71,Urban,3,Dark - lit,Wet,44.19,13.225018,80.416563,Urban,50,Low
ACC000028,Chandigarh,Chandigarh,2023-01-09,19:47,19,9,1,2023,0,0,1,0,0.0,Haze,0.4,29.7,7.83,Highway,3,Dark - unlit,Wet,70.41,30.596866,76.63731,Rural,80,High
ACC000029,Chennai,Chennai,2022-03-24,08:33,8,24,3,2022,3,0,1,0,0.0,Cloudy,0.3,28.2,5.26,Highway,6,Dark - lit,Wet,100.0,13.150536,80.347824,Rural,60,High
ACC000030,Chandigarh,Chandigarh,2022-08-24,15:33,15,24,8,2022,2,0,0,0,0.0,Storm,0.9,27.4,7.12,Urban,2,Dusk/Dawn,Dry,92.7,30.675633,76.874316,Urban,40,Medium
ACC000031,Pune,Pune,2024-03-07,07:56,7,7,3,2024,3,0,1,0,0.0,Haze,0.4,34.7,8.77,Urban,2,Dark - unlit,Icy,47.75,18.527481,73.915993,Urban,60,High
ACC000032,Kolkata,Kolkata,2024-06-18,10:40,10,18,6,2024,1,0,1,0,0.0,Storm,0.9,17.8,4.93,Urban,3,Dusk/Dawn,Wet,73.52,22.6319,88.26792,Urban,50,High
ACC000033,Chandigarh,Chandigarh,2025-02-18,17:13,17,18,2,2025,1,0,1,0,0.0,Cloudy,0.3,23.9,8.36,Highway,2,Dusk/Dawn,Wet,52.76,30.595094,76.869223,Rural,100,High
ACC000034,Lucknow,Lucknow,2024-10-27,17:21,17,27,10,2024,6,1,1,0,0.0,Storm,0.9,18.2,6.61,Rural,1,Dark - lit,Wet,96.93,26.707705,80.871931,Rural,80,High
ACC000035,Jaipur,Jaipur,2022-04-19,13:58,13,19,4,2022,1,0,0,0,0.0,Cloudy,0.3,22.0,10.0,Rural,3,Dusk/Dawn,Icy,67.61,26.966131,75.874051,Rural,100,Low
ACC000036,Kolkata,Kolkata,2023-10-24,08:25,8,24,10,2023,1,0,1,1,0.8,Cloudy,0.3,28.9,9.82,Urban,4,Dark - unlit,Dry,89.03,22.604332,88.285068,Urban,80,High
ACC000037,Hyderabad,Hyderabad,2022-03-31,18:39,18,31,3,2022,3,0,1,0,0.0,Clear,0.1,31.2,9.76,Urban,4,Dark - lit,Muddy,23.8,17.307723,78.371151,Urban,40,Medium
ACC000038,Nagpur,Nagpur,2024-06-29,13:07,13,29,6,2024,5,1,0,0,0.0,Cloudy,0.3,29.9,6.79,Urban,4,Dark - unlit,Dry,54.72,21.200251,79.166268,Urban,100,Medium
ACC000039,Chennai,Chennai,2022-03-19,14:14,14,19,3,2022,5,1,0,0,0.0,Cloudy,0.3,25.8,7.5,Expressway,2,Daylight,Dry,94.52,12.988621,80.191408,Rural,40,Medium
ACC000040,Mumbai,Mumbai,2024-03-31,20:37,20,31,3,2024,6,1,1,0,0.0,Rain,0.7,15.6,7.58,Highway,4,Daylight,Dry,69.31,19.043445,72.887257,Rural,100,High
ACC000041,Bhopal,Bhopal,2023-06-01,20:50,20,1,6,2023,3,0,1,0,0.0,Clear,0.1,23.7,10.0,Expressway,2,Dusk/Dawn,Muddy,56.7,23.171263,77.476819,Rural,50,Medium
ACC000042,Chandigarh,Chandigarh,2025-07-01,20:03,20,1,7,2025,1,0,1,0,0.0,Cloudy,0.3,28.9,10.0,Urban,3,Daylight,Muddy,71.38,30.763009,76.87744,Urban,100,High
ACC000043,Kochi,Kochi,2022-02-20,18:40,18,20,2,2022,6,1,1,0,0.0,Haze,0.4,30.4,10.0,Suburban,3,Dark - unlit,Icy,77.47,9.893531,76.137976,Urban,80,High
ACC000044,Jaipur,Jaipur,2025-05-18,13:28,13,18,5,2025,6,1,0,0,0.0,Haze,0.4,27.0,8.63,Urban,1,Dark - unlit,Icy,21.19,27.021455,75.914188,Urban,50,Medium
ACC000045,Kochi,Kochi,2022-11-23,15:17,15,23,11,2022,2,0,0,0,0.0,Clear,0.1,22.5,7.77,Rural,2,Daylight,Wet,53.57,9.941721,76.172639,Rural,60,Low
ACC000046,Nagpur,Nagpur,2025-02-10,11:49,11,10,2,2025,0,0,0,0,0.0,Cloudy,0.3,21.0,6.44,Highway,2,Dark - unlit,Dry,10.59,21.154094,79.098537,Rural,40,Low
ACC000047,Pune,Pune,2024-12-13,10:53,10,13,12,2024,4,0,1,0,0.0,Cloudy,0.3,29.7,9.72,Expressway,3,Daylight,Wet,74.23,18.571968,73.712613,Rural,50,Medium
ACC000048,Pune,Pune,2025-01-13,01:37,1,13,1,2025,0,0,0,0,0.0,Clear,0.1,21.8,6.37,Urban,3,Dusk/Dawn,Wet,93.62,18.560372,73.927471,Urban,40,Low
ACC000049,Hyderabad,Hyderabad,2023-08-16,20:42,20,16,8,2023,2,0,1,0,0.0,Cloudy,0.3,25.3,7.27,Expressway,4,Dark - lit,Muddy,38.02,17.527364,78.570628,Rural,50,Medium
ACC000050,Lucknow,Lucknow,2024-03-15,00:20,0,15,3,2024,4,0,0,0,0.0,Haze,0.4,30.0,4.59,Highway,3,Dark - unlit,Dry,58.94,26.966872,81.003567,Rural,60,Medium
ACC000051,Jaipur,Jaipur,2024-07-10,11:39,11,10,7,2024,2,0,0,0,0.0,Fog,0.6,35.9,6.09,Urban,2,Dark - unlit,Wet,31.94,26.910682,75.809288,Urban,50,Medium
ACC000052,Pune,Pune,2022-03-10,13:00,13,10,3,2022,3,0,0,0,0.0,Clear,0.1,29.2,8.47,Urban,2,Daylight,Dry,14.25,18.569501,73.987749,Urban,60,Low
ACC000053,Bangalore,Bangalore,2022-06-21,22:36,22,21,6,2022,1,0,0,0,0.0,Clear,0.1,39.5,9.33,Highway,2,Dark - lit,Muddy,55.04,13.067331,77.684425,Rural,40,Medium
ACC000054,Delhi,Delhi,2023-05-04,21:22,21,4,5,2023,3,0,0,0,0.0,Clear,0.1,29.4,5.45,Rural,4,Daylight,Wet,15.4,28.610727,77.125363,Rural,80,Low
ACC000055,Lucknow,Lucknow,2025-03-21,08:17,8,21,3,2025,4,0,1,0,0.0,Clear,0.1,32.4,10.0,Highway,3,Daylight,Muddy,46.51,26.890064,80.99125,Rural,100,Medium
ACC000056,Lucknow,Lucknow,2024-01-09,20:24,20,9,1,2024,1,0,1,0,0.0,Clear,0.1,25.4,10.0,Expressway,3,Dark - unlit,Icy,100.0,26.9597,80.921452,Rural,80,Medium
ACC000057,Bangalore,Bangalore,2022-11-20,17:45,17,20,11,2022,6,1,1,0,0.0,Cloudy,0.3,32.0,6.09,Urban,4,Dusk/Dawn,Icy,92.79,12.961793,77.533701,Urban,100,High
ACC000058,Delhi,Delhi,2025-08-26,16:48,16,26,8,2025,1,0,0,0,0.0,Cloudy,0.3,24.9,6.89,Highway,2,Daylight,Icy,20.71,28.51401,77.356351,Rural,80,Low
ACC000059,Bhopal,Bhopal,2024-02-20,08:23,8,20,2,2024,1,0,1,0,0.0,Cloudy,0.3,25.1,6.77,Urban,3,Dusk/Dawn,Icy,49.69,23.408801,77.531831,Urban,60,High
ACC000060,Chennai,Chennai,2022-02-06,08:05,8,6,2,2022,6,1,1,0,0.0,Rain,0.7,5.6,2.48,Highway,4,Dusk/Dawn,Icy,44.92,12.947335,80.280481,Rural,80,High
ACC000061,Jaipur,Jaipur,2023-02-26,07:12,7,26,2,2023,6,1,1,0,0.0,Storm,0.9,22.5,2.19,Suburban,3,Dark - lit,Icy,55.19,27.041427,75.66905,Urban,40,High
ACC000062,Jaipur,Jaipur,2023-12-01,00:19,0,1,12,2023,4,0,0,0,0.0,Fog,0.6,27.8,2.82,Highway,2,Dusk/Dawn,Muddy,31.65,26.951944,75.715241,Rural,50,Medium
ACC000063,Kolkata,Kolkata,2022-07-29,20:45,20,29,7,2022,4,0,1,0,0.0,Haze,0.4,32.9,8.73,Suburban,3,Dark - lit,Dry,42.82,22.526365,88.400175,Urban,80,Medium
ACC000064,Mumbai,Mumbai,2025-07-18,18:56,18,18,7,2025,4,0,1,0,0.0,Rain,0.7,28.6,7.18,Highway,1,Daylight,Icy,86.21,18.956658,72.983963,Rural,60,High
ACC000065,Nagpur,Nagpur,2024-10-05,16:43,16,5,10,2024,5,1,0,0,0.0,Cloudy,0.3,27.0,8.69,Expressway,3,Daylight,Muddy,49.95,21.219551,78.998308,Rural,80,Low
ACC000066,Lucknow,Lucknow,2025-03-22,00:07,0,22,3,2025,5,1,0,0,0.0,Cloudy,0.3,20.6,8.63,Rural,2,Dark - unlit,Muddy,77.16,26.881695,81.035161,Rural,100,Medium
ACC000067,Bhopal,Bhopal,2023-08-30,17:27,17,30,8,2023,2,0,1,0,0.0,Rain,0.7,17.1,4.27,Expressway,6,Dusk/Dawn,Dry,80.11,23.227648,77.406582,Rural,50,Medium
ACC000068,Ahmedabad,Ahmedabad,2022-01-02,14:43,14,2,1,2022,6,1,0,0,0.0,Storm,0.9,13.1,0.85,Highway,4,Daylight,Muddy,79.04,22.875431,72.519338,Rural,60,High
ACC000069,Nagpur,Nagpur,2025-07-11,21:59,21,11,7,2025,4,0,0,0,0.0,Rain,0.7,29.9,6.34,Expressway,3,Dark - lit,Wet,47.9,21.158189,79.150918,Rural,60,Low
ACC000070,Delhi,Delhi,2024-06-27,13:50,13,27,6,2024,3,0,0,0,0.0,Rain,0.7,25.9,5.45,Urban,3,Dark - unlit,Dry,92.71,28.482006,77.133131,Urban,100,Medium
ACC000071,Pune,Pune,2022-06-08,12:35,12,8,6,2022,2,0,0,0,0.0,Storm,0.9,18.1,4.43,Rural,3,Dark - lit,Icy,79.6,18.509187,73.967182,Rural,50,Medium
ACC000072,Hyderabad,Hyderabad,2025-10-26,09:01,9,26,10,2025,6,1,1,0,0.0,Cloudy,0.3,25.6,9.25,Urban,3,Dark - unlit,Dry,43.66,17.361516,78.419748,Urban,100,High
ACC000073,Kolkata,Kolkata,2023-05-19,15:22,15,19,5,2023,4,0,0,0,0.0,Rain,0.7,19.3,1.68,Highway,3,Dark - unlit,Icy,6.1,22.683825,88.347492,Rural,60,Medium
ACC000074,Lucknow,Lucknow,2024-04-23,19:27,19,23,4,2024,1,0,1,0,0.0,Cloudy,0.3,23.8,9.04,Highway,3,Dark - unlit,Icy,75.4,26.718749,80.847127,Rural,80,Medium
ACC000075,Bhopal,Bhopal,2024-11-09,04:22,4,9,11,2024,5,1,0,0,0.0,Rain,0.7,23.2,6.81,Highway,2,Dusk/Dawn,Wet,88.81,23.127026,77.421951,Rural,80,Medium
ACC000076,Pune,Pune,2025-09-21,21:46,21,21,9,2025,6,1,0,0,0.0,Rain,0.7,19.4,6.26,Highway,2,Dusk/Dawn,Dry,48.5,18.379392,73.799079,Rural,80,Medium
ACC000077,Hyderabad,Hyderabad,2024-12-12,17:37,17,12,12,2024,3,0,1,0,0.0,Cloudy,0.3,26.7,4.77,Urban,2,Dark - lit,Muddy,98.2,17.437954,78.401403,Urban,60,High
ACC000078,Kolkata,Kolkata,2025-07-26,12:43,12,26,7,2025,5,1,0,0,0.0,Fog,0.6,21.6,0.63,Highway,3,Dark - lit,Wet,82.47,22.693013,88.477267,Rural,60,Medium
ACC000079,Lucknow,Lucknow,2022-03-26,19:05,19,26,3,2022,5,1,1,0,0.0,Cloudy,0.3,33.0,5.69,Urban,1,Dark - lit,Wet,40.15,26.924503,80.946334,Urban,80,High
ACC000080,Chandigarh,Chandigarh,2023-09-11,00:46,0,11,9,2023,0,0,0,0,0.0,Rain,0.7,22.1,6.8,Expressway,2,Dusk/Dawn,Icy,16.15,30.73967,76.876118,Rural,50,Medium
ACC000081,Mumbai,Mumbai,2022-12-16,07:55,7,16,12,2022,4,0,1,0,0.0,Rain,0.7,26.9,3.1,Highway,3,Daylight,Wet,82.3,19.219018,72.974652,Rural,60,High
ACC000082,Indore,Indore,2023-12-27,15:35,15,27,12,2023,2,0,0,0,0.0,Fog,0.6,31.7,3.18,Rural,2,Dusk/Dawn,Icy,13.01,22.750084,75.953457,Rural,50,Low
ACC000083,Lucknow,Lucknow,2023-11-18,08:24,8,18,11,2023,5,1,1,0,0.0,Storm,0.9,23.4,4.21,Urban,3,Dark - lit,Muddy,76.66,26.83223,80.972183,Urban,60,High
ACC000084,Pune,Pune,2025-10-29,12:35,12,29,10,2025,2,0,0,0,0.0,Rain,0.7,24.9,6.99,Highway,2,Dark - unlit,Dry,48.49,18.578943,73.827996,Rural,40,Medium
ACC000085,Hyderabad,Hyderabad,2024-08-13,19:33,19,13,8,2024,1,0,1,0,0.0,Clear,0.1,21.9,8.93,Urban,4,Dark - unlit,Wet,100.0,17.367723,78.586259,Urban,80,High
ACC000086,Hyderabad,Hyderabad,2025-08-19,08:39,8,19,8,2025,1,0,1,0,0.0,Cloudy,0.3,24.6,6.53,Highway,3,Dusk/Dawn,Muddy,100.0,17.5235,78.527188,Rural,40,Medium
ACC000087,Jaipur,Jaipur,2023-02-10,05:26,5,10,2,2023,4,0,0,0,0.0,Fog,0.6,31.5,7.8,Highway,4,Daylight,Dry,45.32,26.963868,75.665179,Rural,40,Low
ACC000088,Pune,Pune,2022-09-19,21:08,21,19,9,2022,0,0,0,0,0.0,Cloudy,0.3,20.0,8.16,Suburban,4,Dark - unlit,Dry,38.03,18.653116,73.968701,Urban,60,Low
ACC000089,Delhi,Delhi,2025-05-14,22:52,22,14,5,2025,2,0,0,0,0.0,Rain,0.7,35.3,3.11,Expressway,2,Dark - lit,Muddy,77.71,28.510037,77.126084,Rural,100,Medium
ACC000090,Kochi,Kochi,2024-09-15,06:30,6,15,9,2024,6,1,0,0,0.0,Rain,0.7,25.6,3.88,Highway,3,Dusk/Dawn,Icy,70.98,9.874745,76.269143,Rural,40,Medium
ACC000091,Pune,Pune,2025-09-14,18:37,18,14,9,2025,6,1,1,0,0.0,Clear,0.1,35.6,10.0,Highway,3,Dark - unlit,Wet,78.36,18.442154,73.749375,Rural,100,High
ACC000092,Indore,Indore,2024-09-08,19:20,19,8,9,2024,6,1,1,0,0.0,Rain,0.7,27.9,4.79,Expressway,1,Dark - lit,Wet,24.72,22.675871,75.865351,Rural,100,High
ACC000093,Chennai,Chennai,2023-11-03,13:51,13,3,11,2023,4,0,0,0,0.0,Clear,0.1,22.0,7.92,Urban,3,Daylight,Wet,82.45,12.992357,80.140085,Urban,50,Medium
ACC000094,Jaipur,Jaipur,2023-03-01,17:23,17,1,3,2023,2,0,1,0,0.0,Cloudy,0.3,29.0,10.0,Urban,4,Daylight,Icy,49.14,26.793045,75.834908,Urban,100,High
ACC000095,Kochi,Kochi,2024-04-24,02:07,2,24,4,2024,2,0,0,0,0.0,Rain,0.7,10.8,4.99,Rural,4,Dusk/Dawn,Wet,70.42,9.934867,76.321368,Rural,80,Low
ACC000096,Ahmedabad,Ahmedabad,2024-08-03,00:01,0,3,8,2024,5,1,0,0,0.0,Clear,0.1,29.2,7.95,Urban,1,Dark - lit,Dry,74.85,23.059899,72.535982,Urban,100,Medium
ACC000097,Nagpur,Nagpur,2025-06-03,06:55,6,3,6,2025,1,0,0,0,0.0,Clear,0.1,22.8,4.07,Suburban,2,Daylight,Icy,30.38,21.15203,79.12315,Urban,50,Low
ACC000098,Bhopal,Bhopal,2025-06-10,14:27,14,10,6,2025,1,0,0,0,0.0,Rain,0.7,24.9,7.46,Highway,6,Daylight,Dry,54.5,23.368311,77.516554,Rural,50,Low
ACC000099,Hyderabad,Hyderabad,2022-03-29,10:07,10,29,3,2022,1,0,1,0,0.0,Cloudy,0.3,24.6,6.28,Expressway,3,Dark - lit,Wet,75.17,17.480336,78.400753,Rural,40,Medium
ACC000100,Kochi,Kochi,2025-02-01,08:57,8,1,2,2025,5,1,1,0,0.0,Storm,0.9,23.8,5.32,Rural,2,Dark - lit,Muddy,45.46,9.999139,76.414843,Rural,40,High
ACC000101,Bangalore,Bangalore,2025-05-19,23:37,23,19,5,2025,0,0,0,0,0.0,Cloudy,0.3,33.6,8.45,Urban,3,Dark - lit,Muddy,39.31,13.074191,77.585696,Urban,80,Low
ACC000102,Jaipur,Jaipur,2023-08-06,13:48,13,6,8,2023,6,1,0,0,0.0,Rain,0.7,32.3,6.19,Highway,3,Dark - unlit,Wet,56.87,26.878702,75.757998,Rural,60,Medium
ACC000103,Bhopal,Bhopal,2024-05-17,14:44,14,17,5,2024,4,0,0,0,0.0,Cloudy,0.3,25.7,6.31,Highway,2,Daylight,Dry,36.37,23.404491,77.325553,Rural,80,Low
ACC000104,Nagpur,Nagpur,2022-03-16,18:34,18,16,3,2022,2,0,1,0,0.0,Haze,0.4,27.9,9.44,Highway,3,Dark - lit,Wet,84.33,21.118771,79.190141,Rural,60,High
ACC000105,Chennai,Chennai,2022-02-18,12:24,12,18,2,2022,4,0,0,0,0.0,Haze,0.4,28.5,8.29,Rural,3,Dusk/Dawn,Dry,47.44,13.18528,80.17653,Rural,80,Low
ACC000106,Bhopal,Bhopal,2025-04-20,12:31,12,20,4,2025,6,1,0,0,0.0,Storm,0.9,15.2,6.96,Urban,2,Dusk/Dawn,Icy,80.21,23.184764,77.344185,Urban,80,High
ACC000107,Ahmedabad,Ahmedabad,2023-05-07,18:32,18,7,5,2023,6,1,1,0,0.0,Rain,0.7,25.2,4.02,Urban,6,Dark - lit,Dry,63.23,23.04055,72.702447,Urban,80,High
ACC000108,Kolkata,Kolkata,2023-07-27,19:38,19,27,7,2023,3,0,1,0,0.0,Rain,0.7,22.2,2.97,Highway,3,Dark - lit,Muddy,66.91,22.590967,88.370917,Rural,80,High
ACC000109,Chandigarh,Chandigarh,2023-07-15,08:40,8,15,7,2023,5,1,1,0,0.0,Clear,0.1,28.6,10.0,Highway,2,Dusk/Dawn,Wet,80.66,30.721072,76.644987,Rural,80,High
ACC000110,Ahmedabad,Ahmedabad,2022-08-15,06:47,6,15,8,2022,0,0,0,1,0.8,Rain,0.7,19.3,5.37,Expressway,2,Dark - lit,Muddy,23.01,22.957229,72.538619,Rural,50,Medium
ACC000111,Lucknow,Lucknow,2023-01-21,10:31,10,21,1,2023,5,1,1,0,0.0,Storm,0.9,17.3,2.29,Suburban,2,Daylight,Muddy,40.52,26.830981,80.963546,Urban,60,High
ACC000112,Nagpur,Nagpur,2023-11-01,16:51,16,1,11,2023,2,0,0,0,0.0,Clear,0.1,28.0,10.0,Expressway,3,Dark - lit,Wet,90.34,21.141408,78.97493,Rural,60,Low
ACC000113,Kochi,Kochi,2024-07-31,16:34,16,31,7,2024,2,0,0,0,0.0,Clear,0.1,28.3,10.0,Urban,4,Dusk/Dawn,Wet,46.67,9.875505,76.25865,Urban,40,Low
ACC000114,Chandigarh,Chandigarh,2022-09-30,19:59,19,30,9,2022,4,0,1,0,0.0,Cloudy,0.3,31.0,8.74,Suburban,3,Daylight,Muddy,74.64,30.778644,76.815679,Urban,60,Medium
ACC000115,Hyderabad,Hyderabad,2022-05-23,08:26,8,23,5,2022,0,0,1,0,0.0,Clear,0.1,31.6,9.33,Urban,3,Dark - lit,Muddy,41.51,17.494916,78.401359,Urban,80,Medium
ACC000116,Bangalore,Bangalore,2023-08-19,00:44,0,19,8,2023,5,1,0,0,0.0,Cloudy,0.3,26.5,8.78,Highway,6,Dark - unlit,Wet,27.15,13.11464,77.477816,Rural,40,Low
ACC000117,Chandigarh,Chandigarh,2024-02-26,20:58,20,26,2,2024,0,0,1,0,0.0,Clear,0.1,26.9,7.3,Rural,3,Dark - lit,Wet,76.66,30.771771,76.789203,Rural,40,Medium
ACC000118,Bhopal,Bhopal,2025-07-02,05:08,5,2,7,2025,2,0,0,0,0.0,Clear,0.1,32.5,8.14,Expressway,1,Daylight,Dry,62.93,23.212022,77.559309,Rural,80,Low
ACC000119,Bangalore,Bangalore,2024-12-24,01:56,1,24,12,2024,1,0,0,0,0.0,Rain,0.7,17.4,4.76,Highway,4,Daylight,Icy,50.13,13.070386,77.708294,Rural,80,Low
ACC000120,Hyderabad,Hyderabad,2024-05-03,09:56,9,3,5,2024,4,0,1,0,0.0,Clear,0.1,29.9,6.75,Urban,6,Daylight,Dry,35.31,17.350353,78.483,Urban,40,Medium
ACC000121,Bangalore,Bangalore,2024-01-19,13:53,13,19,1,2024,4,0,0,0,0.0,Cloudy,0.3,25.6,9.55,Urban,4,Dark - lit,Dry,18.66,12.880429,77.627834,Urban,40,Low
ACC000122,Mumbai,Mumbai,2022-07-02,20:11,20,2,7,2022,5,1,1,0,0.0,Cloudy,0.3,32.3,7.2,Rural,6,Daylight,Muddy,100.0,18.960152,72.831267,Rural,40,High
ACC000123,Indore,Indore,2023-06-04,19:48,19,4,6,2023,6,1,1,0,0.0,Clear,0.1,32.1,5.59,Rural,4,Daylight,Muddy,68.13,22.785129,75.99391,Rural,50,High
ACC000124,Delhi,Delhi,2023-03-26,20:11,20,26,3,2023,6,1,1,0,0.0,Cloudy,0.3,23.9,8.9,Urban,2,Dark - unlit,Icy,54.54,28.664472,77.262601,Urban,40,High
ACC000125,Chennai,Chennai,2022-08-11,13:31,13,11,8,2022,3,0,0,0,0.0,Fog,0.6,24.2,5.18,Highway,2,Dark - unlit,Icy,63.26,12.969601,80.288293,Rural,80,Medium
ACC000126,Kochi,Kochi,2022-12-26,20:46,20,26,12,2022,0,0,1,0,0.0,Clear,0.1,30.9,3.22,Urban,1,Dusk/Dawn,Icy,52.99,10.056191,76.246596,Urban,100,Medium
ACC000127,Bangalore,Bangalore,2022-05-06,15:25,15,6,5,2022,4,0,0,0,0.0,Clear,0.1,29.7,8.54,Expressway,3,Dark - unlit,Wet,68.21,12.923781,77.466114,Rural,60,Low
ACC000128,Chandigarh,Chandigarh,2022-05-05,13:12,13,5,5,2022,3,0,0,0,0.0,Clear,0.1,27.5,8.46,Suburban,2,Dark - unlit,Icy,38.95,30.631307,76.636406,Urban,80,Low
